Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"seeed studio esp32 c6","micrcontroller",1,5.00,"https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/113991254/24613066","digikey"
"Key switches","for the macropad buttons",1,2.00,"https://keychron.com.au/products/cherry-switch-set","keychron/aliexpress"
"Screen","to display features",1,2.50,"https://aliexpress.com","aliexpress"
"PCB","To connect all components",1,1.00,"","PCBWay"
